week_num,avg_temp,city,country,lat,lon
35,17.71,Krakau,Poland,50.08,19.92
35,15.84,Amsterdam,Netherlands,52.37,4.89
35,22.83,Saskatoon,Canada,52.13,-106.67
35,17.11,London,United Kingdom,51.52,-0.11
35,14.81,Bremen,Germany,53.08,8.8
35,16.84,Berlin,Germany,52.52,13.4
35,17.66,Irkutsk,Russia,52.27,104.33
35,14.47,Dublin,Ireland,53.33,-6.25
35,19.49,Minsk,Belarus,53.9,27.57
35,3.51,Rio Gallegos,Argentina,-51.63,-69.22
35,15.2,Birmingham,United Kingdom,52.49,-1.86
36,21.97,Amsterdam,Netherlands,52.37,4.89
36,22.6,Birmingham,United Kingdom,52.49,-1.86
36,22.97,Berlin,Germany,52.52,13.4
36,21.07,Bremen,Germany,53.08,8.8
36,16.41,Saskatoon,Canada,52.13,-106.67
36,18.23,Krakau,Poland,50.08,19.92
36,24.03,London,United Kingdom,51.52,-0.11
36,16.31,Minsk,Belarus,53.9,27.57
36,3.29,Rio Gallegos,Argentina,-51.63,-69.22
36,17.51,Dublin,Ireland,53.33,-6.25
36,12.5,Irkutsk,Russia,52.27,104.33
37,19.41,Krakau,Poland,50.08,19.92
37,15.69,Minsk,Belarus,53.9,27.57
37,10.97,Irkutsk,Russia,52.27,104.33
37,20.26,Berlin,Germany,52.52,13.4
37,19.44,London,United Kingdom,51.52,-0.11
37,18.16,Saskatoon,Canada,52.13,-106.67
37,18.06,Amsterdam,Netherlands,52.37,4.89
37,16.03,Birmingham,United Kingdom,52.49,-1.86
37,3.59,Rio Gallegos,Argentina,-51.63,-69.22
37,13.53,Dublin,Ireland,53.33,-6.25
37,17.17,Bremen,Germany,53.08,8.8
38,15.59,London,United Kingdom,51.52,-0.11
38,13.66,Birmingham,United Kingdom,52.49,-1.86
38,3.89,Rio Gallegos,Argentina,-51.63,-69.22
38,17.53,Minsk,Belarus,53.9,27.57
38,11.99,Irkutsk,Russia,52.27,104.33
38,17.44,Krakau,Poland,50.08,19.92
38,15.56,Amsterdam,Netherlands,52.37,4.89
38,13.16,Dublin,Ireland,53.33,-6.25
38,19.07,Berlin,Germany,52.52,13.4
38,16.53,Bremen,Germany,53.08,8.8
38,16.73,Saskatoon,Canada,52.13,-106.67
39,14.96,Saskatoon,Canada,52.13,-106.67
39,16.1,Bremen,Germany,53.08,8.8
39,17.33,London,United Kingdom,51.52,-0.11
39,19.03,Berlin,Germany,52.52,13.4
39,16.77,Krakau,Poland,50.08,19.92
39,14.1,Dublin,Ireland,53.33,-6.25
39,16.59,Amsterdam,Netherlands,52.37,4.89
39,14.77,Birmingham,United Kingdom,52.49,-1.86
39,6.47,Rio Gallegos,Argentina,-51.63,-69.22
39,6.9,Irkutsk,Russia,52.27,104.33
39,15.21,Minsk,Belarus,53.9,27.57
40,8.77,Saskatoon,Canada,52.13,-106.67
40,15.77,Berlin,Germany,52.52,13.4
40,14.69,Birmingham,United Kingdom,52.49,-1.86
40,16.49,London,United Kingdom,51.52,-0.11
40,14.27,Krakau,Poland,50.08,19.92
40,6.94,Rio Gallegos,Argentina,-51.63,-69.22
40,14.24,Bremen,Germany,53.08,8.8
40,15.97,Amsterdam,Netherlands,52.37,4.89
40,6.41,Irkutsk,Russia,52.27,104.33
40,15.06,Dublin,Ireland,53.33,-6.25
40,11.46,Minsk,Belarus,53.9,27.57
41,12.3,Krakau,Poland,50.08,19.92
41,14.47,Berlin,Germany,52.52,13.4
41,7.7,Saskatoon,Canada,52.13,-106.67
41,13.33,Birmingham,United Kingdom,52.49,-1.86
41,12.64,Dublin,Ireland,53.33,-6.25
41,13.61,Bremen,Germany,53.08,8.8
41,14.3,Amsterdam,Netherlands,52.37,4.89
41,5.73,Irkutsk,Russia,52.27,104.33
41,7.87,Minsk,Belarus,53.9,27.57
41,15.69,London,United Kingdom,51.52,-0.11
41,7.99,Rio Gallegos,Argentina,-51.63,-69.22
42,13.27,Berlin,Germany,52.52,13.4
42,12.94,Bremen,Germany,53.08,8.8
42,7.53,Saskatoon,Canada,52.13,-106.67
42,11.59,Krakau,Poland,50.08,19.92
42,13.66,Amsterdam,Netherlands,52.37,4.89
42,8.09,Minsk,Belarus,53.9,27.57
42,10.39,Rio Gallegos,Argentina,-51.63,-69.22
42,14.84,London,United Kingdom,51.52,-0.11
42,12.79,Birmingham,United Kingdom,52.49,-1.86
42,2.84,Irkutsk,Russia,52.27,104.33
42,13.07,Dublin,Ireland,53.33,-6.25
43,3.61,Saskatoon,Canada,52.13,-106.67
43,13.81,Birmingham,United Kingdom,52.49,-1.86
43,9.93,Minsk,Belarus,53.9,27.57
43,15.34,Berlin,Germany,52.52,13.4
43,15.64,Amsterdam,Netherlands,52.37,4.89
43,0.74,Irkutsk,Russia,52.27,104.33
43,13.14,Krakau,Poland,50.08,19.92
43,15.04,Bremen,Germany,53.08,8.8
43,15.59,London,United Kingdom,51.52,-0.11
43,8.06,Rio Gallegos,Argentina,-51.63,-69.22
43,13.69,Dublin,Ireland,53.33,-6.25
44,-3.47,Irkutsk,Russia,52.27,104.33
44,11.69,London,United Kingdom,51.52,-0.11
44,-1.84,Saskatoon,Canada,52.13,-106.67
44,10.51,Dublin,Ireland,53.33,-6.25
44,11.94,Amsterdam,Netherlands,52.37,4.89
44,6.09,Minsk,Belarus,53.9,27.57
